Actor1Geo_CountryCode,MonthYear,NumMentions,goldstein * num_mentions,avgtone * num_mentions,avg_goldstein,avg_avgtone
NH,201705.0,3490.0,8868.5,1015.6589358792912,2.541117478510029,0.291019752400943
NL,201705.0,73602.0,83036.09999999999,-45587.80800487103,1.128177223445015,-0.6193827342310132
PO,201705.0,39504.0,47299.399999999994,-22663.780554045257,1.1973319157553663,-0.5737084992417288
PP,201705.0,15000.0,9766.5,-29894.69276523199,0.6511,-1.9929795176821328
SW,201705.0,62677.0,31635.100000000002,-179859.630619339,0.5047321984140913,-2.869627305380586
ZI,201705.0,85045.0,44496.700000000004,-166082.30342199455,0.5232135928038097,-1.952875576718144
AJ,201705.0,49382.0,51469.2,-32594.647940285882,1.0422664128629864,-0.6600511915330664
BX,201705.0,16151.0,25060.200000000004,-1925.4591422701149,1.5516190947928923,-0.11921609450003808
BY,201705.0,10531.0,10683.7,-27372.029957804003,1.014500047478872,-2.599186208128763
MR,201705.0,3276.0,3517.5999999999995,-5140.5091160267675,1.0737484737484735,-1.5691419768091477
SU,201705.0,80283.0,55771.0,-287044.8222760587,0.6946800692550104,-3.575412257589511
TZ,201705.0,45240.0,52865.5,-68731.26547482947,1.16855658709107,-1.519258741707106
ZA,201705.0,31650.0,33453.799999999996,-31054.8985960174,1.056992101105845,-0.9811974279942306
BC,201705.0,17335.0,19779.9,-11136.116889989778,1.141038361695991,-0.6424065122578471
BU,201705.0,22947.0,25080.800000000003,-15459.497089323359,1.0929881901773653,-0.6737044968546372
CI,201705.0,25972.0,27083.400000000005,-17148.228766063872,1.0427922377945482,-0.6602583076414551
DO,201705.0,1825.0,2849.1,-1547.4386258878508,1.5611506849315069,-0.8479115758289594
DR,201705.0,8141.0,8974.6,-13692.30446865921,1.10239528313475,-1.6818946651098403
EN,201705.0,17144.0,19528.9,-550.7401290897817,1.139109892673822,-0.03212436590584354
OD,201705.0,35289.0,10622.1,-150990.04358394173,0.30100314545609114,-4.2786716422664774
RQ,201705.0,16922.0,23123.699999999997,-37385.89124115662,1.3664874128353621,-2.2093068928706194
AM,201705.0,52541.0,62198.8,-26807.399530070175,1.1838145448316553,-0.5102186774151648
BF,201705.0,31465.0,29240.399999999998,-40546.11521309288,0.9292992213570633,-1.288610049677193
BH,201705.0,24864.0,5126.8,-40720.355029791885,0.2061936936936937,-1.637723416577859
CD,201705.0,15289.0,2124.5999999999995,-48404.70182260998,0.138962652887697,-3.165982197829157
DA,201705.0,41995.0,30338.800000000003,-78179.33623174072,0.7224383855220861,-1.8616343905641317
KG,201705.0,13135.0,23634.3,-2123.9219808545695,1.7993376475066616,-0.16169942754888234
LH,201705.0,17786.0,20953.199999999997,-18542.551388212745,1.1780726414033509,-1.0425363425285474
MN,201705.0,6938.0,10499.499999999998,7125.437495752353,1.5133323724416257,1.0270160703015787
NO,201705.0,48952.0,69589.0,-46570.77022299508,1.421576237947377,-0.9513558224994909
NU,201705.0,7416.0,8911.4,-12640.255185677916,1.2016450916936354,-1.7044572796221569
RW,201705.0,34724.0,60457.4,-14453.697396414223,1.7410839765004031,-0.4162451732638585
UY,201705.0,4393.0,8242.900000000001,-2063.3931647716877,1.8763715001138177,-0.46970024237916863
VT,201705.0,15164.0,25757.6,1778.3320115741242,1.698601951991559,0.11727327958151702
HO,201705.0,11321.0,-4728.1,-38782.21480706985,-0.4176397844713365,-3.4256880847160014
KZ,201705.0,31768.0,53096.3,-41489.752578993444,1.6713768572148076,-1.3060234380191842
LG,201705.0,15204.0,27606.399999999998,-4179.229180629779,1.8157327019205471,-0.27487695215928565
MC,201705.0,3660.0,3282.4999999999995,-3708.6053021614275,0.8968579234972677,-1.013280137202576
RN,201705.0,446.0,627.7,467.9028320243144,1.4073991031390136,1.0491094888437542
UZ,201705.0,14980.0,17984.7,-16066.975232490455,1.2005807743658212,-1.072561764518722
VQ,201705.0,3499.0,3278.7000000000003,-1966.8899513349545,0.9370391540440126,-0.5621291658573748
BN,201705.0,11010.0,2595.9000000000005,-21152.694495617572,0.23577656675749323,-1.921225658094239
GI,201705.0,4921.0,5761.1,-4856.796760876935,1.1707173338752286,-0.9869532129398364
MJ,201705.0,6066.0,4897.700000000001,-11173.95117440663,0.8074019122980548,-1.842062508144845
MZ,201705.0,9758.0,12625.0,-10582.730911771261,1.2938102070096331,-1.0845184373612688
TD,201705.0,24817.0,11158.999999999998,-45619.01546132794,0.4496514486037796,-1.8382163622246015
VI,201705.0,1413.0,1225.4,-2745.255416586526,0.8672328379334749,-1.9428559211511152
WA,201705.0,17530.0,22129.3,-8746.160212888552,1.2623673702224758,-0.498925283108303
EC,201705.0,19076.0,28296.100000000006,-52356.99498044349,1.483335080729713,-2.7446527039444057
SE,201705.0,3139.0,5952.099999999999,3809.096766844376,1.896177126473399,1.2134745991858478
WI,201705.0,2103.0,5176.0,-1721.088962044422,2.461245839277223,-0.8183970337824166
BM,201705.0,37464.0,11208.000000000002,-95574.94840754339,0.299167200512492,-2.5511143606540516
CQ,201705.0,70.0,125.6,-78.85726012374218,1.7942857142857143,-1.1265322874820312
CW,201705.0,2491.0,5698.0,2340.5243586722604,2.2874347651545563,0.9395922756612848
FP,201705.0,1166.0,1850.1,2014.4846642871794,1.5867066895368782,1.727688391326912
KR,201705.0,795.0,525.5,-1132.0087801335467,0.6610062893081761,-1.4239104152623228
LA,201705.0,11319.0,13894.500000000002,-5355.696811605159,1.2275377683540951,-0.4731598914749677
MU,201705.0,19211.0,43233.49999999999,16589.912656916767,2.250455468221331,0.8635632011304339
SG,201705.0,12185.0,19907.5,-2746.132213253218,1.6337710299548625,-0.22536989850252098
TT,201705.0,2681.0,4703.8,-296.95185588016307,1.7544945915703096,-0.11076160234247037
WS,201705.0,8747.0,10674.599999999999,201.53868687409408,1.2203726992111579,0.023040892520189104
TN,201705.0,4096.0,7604.4,-938.6480144206031,1.85654296875,-0.22916211289565505
CJ,201705.0,3934.0,4167.900000000001,1278.4178640109133,1.0594560244026439,0.32496641179738517
IV,201705.0,16225.0,-531.6999999999994,-79851.2696065428,-0.032770416024653276,-4.921495815503408
MD,201705.0,10960.0,10449.0,-8265.694866528886,0.9533759124087591,-0.7541692396467962
MG,201705.0,7065.0,16842.2,5097.244784846943,2.3838924274593065,0.7214783842670832
OC,201705.0,1461.0,2665.6000000000004,514.5898741575254,1.8245037645448325,0.3522175730030975
ST,201705.0,5314.0,7324.800000000001,-829.025735895029,1.3783966879939784,-0.15600785395088992
BL,201705.0,5487.0,6450.0,-6827.213490159318,1.1755057408419902,-1.244252504129637
CV,201705.0,1454.0,3022.9999999999995,2036.64399285293,2.079092159559835,1.4007180143417677
FM,201705.0,930.0,1741.1999999999998,468.43031794218047,1.8722580645161289,0.5036885139163231
GG,201705.0,13451.0,13042.999999999998,-12665.934401404753,0.9696676827001709,-0.9416351499074235
GJ,201705.0,5744.0,8399.6,1210.4719679232178,1.462325905292479,0.2107367632178304
GK,201705.0,4340.0,4202.6,-5206.3215784486265,0.9683410138248849,-1.1996132669236466
MA,201705.0,4584.0,5208.099999999999,-4330.7529631754105,1.1361474694589877,-0.9447541368183705
SL,201705.0,14791.0,20800.800000000003,-7125.410115923062,1.406314650801163,-0.4817395791983681
RO,201705.0,42662.0,54525.69999999999,-8126.37598222901,1.2780858843936054,-0.1904827711365855
