,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
5328,752877975,20180503.0,201805.0,0.0,4.0,1.0,4.0,-3.67892976588629,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,-14.71571906354516
5353,752878821,20180503.0,201805.0,0.0,8.0,1.0,8.0,3.2051282051282,7.073060000000001,125.613,RP,"Davao City, Davao City, Philippines",0.0,25.6410256410256
5362,752882888,20180503.0,201805.0,3.0,10.0,1.0,10.0,3.88888888888889,16.45,120.55,RP,"Philippine, Benguet, Philippines",30.0,38.8888888888889
5667,752931108,20180503.0,201805.0,0.4,4.0,1.0,4.0,-1.84049079754601,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",1.6,-7.36196319018404
5698,752933674,20180503.0,201805.0,3.4,1.0,1.0,1.0,4.92610837438424,10.6677,122.95299999999999,RP,"Bacolod City, Bacolod, Philippines",3.4,4.92610837438424
5830,752957008,20180503.0,201805.0,-10.0,1.0,1.0,1.0,-5.52763819095477,9.7064,123.4,RP,"Cagayan, Cebu, Philippines",-10.0,-5.52763819095477
5840,752957004,20180503.0,201805.0,0.0,2.0,1.0,2.0,-5.52763819095477,9.7064,123.4,RP,"Cagayan, Cebu, Philippines",0.0,-11.05527638190954
5969,752974888,20180504.0,201805.0,7.4,4.0,1.0,4.0,1.47329650092081,16.45,120.55,RP,"Philippine, Benguet, Philippines",29.6,5.89318600368324
6383,753033086,20180504.0,201805.0,-10.0,4.0,1.0,2.0,-5.55555555555556,14.5886,121.176,RP,"Antipolo, Antipolo, Philippines",-40.0,-22.22222222222224
6386,753031555,20180504.0,201805.0,1.0,10.0,1.0,10.0,-3.1446540880503195,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",10.0,-31.4465408805032
6502,753049381,20180504.0,201805.0,1.9,10.0,1.0,10.0,-1.45530145530146,7.6725,122.148,RP,"Bali, Zamboanga del Norte, Philippines",19.0,-14.5530145530146
6580,753060666,20180504.0,201805.0,3.4,4.0,1.0,4.0,-2.46679316888045,17.5,121.75,RP,"Cagayan Valley, Philippines (general), Philippines",13.6,-9.8671726755218
7047,753141378,20180504.0,201805.0,4.0,10.0,1.0,10.0,1.76991150442478,14.505,121.005,RP,"Ninoy Aquino International Airport, Pasay, Philippines",40.0,17.6991150442478
7291,753177195,20180504.0,201805.0,-5.0,4.0,1.0,4.0,-4.19161676646707,5.6942,120.885,RP,"Kalookan, Sulu, Philippines",-20.0,-16.76646706586828
7781,753253387,20180504.0,201805.0,5.0,6.0,1.0,6.0,-7.05521472392638,13.0,122.0,RP,Philippines,30.0,-42.331288343558285
8115,753298546,20180505.0,201805.0,-0.4,10.0,1.0,10.0,-0.9090909090909108,13.0,122.0,RP,Philippines,-4.0,-9.09090909090911
8165,753305491,20180505.0,201805.0,0.4,8.0,1.0,8.0,1.17878192534381,17.6301,121.495,RP,"Calbayog, Province of Kalinga, Philippines",3.2,9.43025540275048
8380,753336684,20180505.0,201805.0,-10.0,5.0,1.0,5.0,-5.24017467248909,16.45,120.55,RP,"Philippine, Benguet, Philippines",-50.0,-26.20087336244545
8555,753369336,20180505.0,201805.0,-2.0,1.0,1.0,1.0,1.65016501650165,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-2.0,1.65016501650165
8580,753377598,20180505.0,201805.0,7.4,2.0,1.0,2.0,-1.01394169835234,14.5518,120.994,RP,"Pasay City, Pasay, Philippines",14.8,-2.02788339670468
8727,753402013,20180505.0,201805.0,-5.0,2.0,1.0,2.0,-0.49443757725587,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-10.0,-0.98887515451174
8821,753418853,20180505.0,201805.0,4.0,3.0,1.0,3.0,5.8073654390934895,6.91025,122.072,RP,"Zamboanga, Zamboanga, Philippines",12.0,17.42209631728047
8989,753444983,20180505.0,201805.0,7.4,2.0,1.0,2.0,2.20385674931129,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",14.8,4.40771349862258
9010,753449996,20180505.0,201805.0,7.0,1.0,1.0,1.0,-1.77195685670262,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.0,-1.77195685670262
9086,753462495,20180506.0,201805.0,7.0,2.0,1.0,2.0,-0.87336244541485,16.45,120.55,RP,"Philippine, Benguet, Philippines",14.0,-1.7467248908297
9166,753474133,20180506.0,201805.0,-0.4,4.0,1.0,4.0,-6.08875128998968,16.45,120.55,RP,"Philippine, Benguet, Philippines",-1.6,-24.35500515995872
9171,753474014,20180506.0,201805.0,-10.0,30.0,3.0,30.0,-9.0,8.0034,124.28399999999999,RP,"Marawi, Marawi, Philippines",-300.0,-270.0
9231,753484821,20180506.0,201805.0,7.0,1.0,1.0,1.0,-3.3613445378151203,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.0,-3.3613445378151203
9842,753589893,20180506.0,201805.0,7.4,8.0,1.0,8.0,-5.68181818181818,13.0,122.0,RP,Philippines,59.2,-45.45454545454544
9857,753590452,20180506.0,201805.0,5.0,1.0,1.0,1.0,-9.84848484848485,7.48722,124.29899999999999,RP,"Barira, Maguindanao, Philippines",5.0,-9.84848484848485
9863,753590442,20180506.0,201805.0,7.0,1.0,1.0,1.0,-2.9637760702524703,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",7.0,-2.9637760702524703
10027,753618349,20180506.0,201805.0,-9.0,2.0,1.0,2.0,-3.6363636363636402,16.45,120.55,RP,"Philippine, Benguet, Philippines",-18.0,-7.2727272727272805
10198,753643572,20180507.0,201805.0,1.9,2.0,1.0,2.0,2.82258064516129,10.6677,122.95299999999999,RP,"Bacolod, Bacolod, Philippines",3.8,5.64516129032258
10509,753688874,20180507.0,201805.0,3.4,2.0,1.0,2.0,-0.16420361247947,16.45,120.55,RP,"Philippine, Benguet, Philippines",6.8,-0.32840722495894
10538,753691566,20180507.0,201805.0,-10.0,1.0,1.0,1.0,1.63043478260869,14.5548,121.01899999999999,RP,"Makati City, San Pedro Makati, Philippines",-10.0,1.63043478260869
10540,753691010,20180507.0,201805.0,-10.0,2.0,1.0,2.0,1.63043478260869,14.5548,121.01899999999999,RP,"Makati City, San Pedro Makati, Philippines",-20.0,3.26086956521738
10647,753707846,20180507.0,201805.0,4.0,4.0,1.0,4.0,2.8688524590163897,16.4164,120.59299999999999,RP,"Baguio City, Baguio, Philippines",16.0,11.475409836065559
10704,753718157,20180507.0,201805.0,-2.0,8.0,1.0,8.0,-1.6483516483516398,16.45,120.55,RP,"Philippine, Benguet, Philippines",-16.0,-13.186813186813119
10717,753721992,20180507.0,201805.0,6.0,4.0,1.0,4.0,-2.9154518950437303,16.45,120.55,RP,"Philippine, Benguet, Philippines",24.0,-11.661807580174921
10761,753731239,20180507.0,201805.0,2.8,1.0,1.0,1.0,-1.6267123287671204,8.0034,124.28399999999999,RP,"Marawi, Marawi, Philippines",2.8,-1.6267123287671204
10818,753741088,20180507.0,201805.0,-7.2,6.0,1.0,6.0,-0.33783783783784,15.5415,121.085,RP,"Palayan City, Palayan, Philippines",-43.2,-2.02702702702704
10830,753741086,20180507.0,201805.0,-7.2,2.0,1.0,2.0,-0.33783783783784,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-14.4,-0.67567567567568
10834,753744715,20180507.0,201805.0,-4.0,8.0,1.0,8.0,-5.882352941176469,10.0431,124.531,RP,"Sandigan, Bohol, Philippines",-32.0,-47.058823529411754
10847,753744070,20180507.0,201805.0,-5.0,10.0,1.0,10.0,2.61437908496732,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-50.0,26.1437908496732
11029,753776211,20180507.0,201805.0,-9.0,2.0,1.0,2.0,-9.09090909090913,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",-18.0,-18.18181818181826
11325,753821617,20180507.0,201805.0,2.8,2.0,1.0,2.0,0.79681274900398,13.0,122.0,RP,Philippines,5.6,1.59362549800796
11401,753835754,20180507.0,201805.0,4.0,2.0,1.0,2.0,-4.0,16.17,120.78,RP,"Barangay, Pangasinan, Philippines",8.0,-8.0
